strategy,x,y,mean_visits
random,11,13,0.0
random,11,14,0.0
random,11,15,0.0
random,11,16,0.0
random,11,17,0.0
random,11,18,0.0
random,11,19,0.0
random,12,0,1.9333333333333333
random,12,1,2.1
random,12,2,1.5333333333333334
random,12,3,1.1333333333333333
random,12,4,0.5333333333333333
random,12,5,0.3
random,12,6,0.0
random,12,7,0.0
random,12,8,0.0
random,12,9,0.0
random,12,10,0.0
random,12,11,0.0
random,12,12,0.0
random,12,13,0.0
random,12,14,0.0
random,12,15,0.0
random,12,16,0.0
random,12,17,0.0
random,12,18,0.0
random,12,19,0.0
random,13,0,1.5
random,13,1,1.3666666666666667
random,13,2,1.5
random,13,3,1.1
random,13,4,0.6333333333333333
random,13,5,0.0
random,13,6,0.0
random,13,7,0.0
random,13,8,0.0
random,13,9,0.0
random,13,10,0.0
random,13,11,0.0
random,13,12,0.0
random,13,13,0.0
random,13,14,0.0
random,13,15,0.0
random,13,16,0.0
random,13,17,0.0
random,13,18,0.0
random,13,19,0.0
random,14,0,0.5333333333333333
random,14,1,0.26666666666666666
random,14,2,0.5666666666666667
random,14,3,0.6
random,14,4,0.6666666666666666
random,14,5,0.2
random,14,6,0.03333333333333333
random,14,7,0.0
random,14,8,0.0
random,14,9,0.0
random,14,10,0.0
random,14,11,0.0
random,14,12,0.0
random,14,13,0.0
random,14,14,0.0
random,14,15,0.0
random,14,16,0.0
random,14,17,0.0
random,14,18,0.0
random,14,19,0.0
random,15,0,0.16666666666666666
random,15,1,0.23333333333333334
random,15,2,0.5666666666666667
random,15,3,0.4
random,15,4,0.13333333333333333
random,15,5,0.13333333333333333
random,15,6,0.0
random,15,7,0.0
random,15,8,0.0
random,15,9,0.0
random,15,10,0.0
random,15,11,0.0
random,15,12,0.0
random,15,13,0.0
random,15,14,0.0
random,15,15,0.0
random,15,16,0.0
random,15,17,0.0
random,15,18,0.0
random,15,19,0.0
random,16,0,0.06666666666666667
random,16,1,0.03333333333333333
random,16,2,0.0
random,16,3,0.0
random,16,4,0.06666666666666667
random,16,5,0.16666666666666666
random,16,6,0.1
random,16,7,0.0
random,16,8,0.0
random,16,9,0.0
random,16,10,0.0
random,16,11,0.0
random,16,12,0.0
random,16,13,0.0
random,16,14,0.0
random,16,15,0.0
random,16,16,0.0
random,16,17,0.0
random,16,18,0.0
random,16,19,0.0
random,17,0,0.03333333333333333
random,17,1,0.03333333333333333
random,17,2,0.0
random,17,3,0.0
random,17,4,0.06666666666666667
random,17,5,0.06666666666666667
random,17,6,0.03333333333333333
random,17,7,0.0
random,17,8,0.0
random,17,9,0.0
random,17,10,0.0
random,17,11,0.0
random,17,12,0.0
random,17,13,0.0
random,17,14,0.0
random,17,15,0.0
random,17,16,0.0
random,17,17,0.0
random,17,18,0.0
random,17,19,0.0
random,18,0,0.0
random,18,1,0.0
random,18,2,0.0
random,18,3,0.0
random,18,4,0.03333333333333333
random,18,5,0.03333333333333333
random,18,6,0.0
random,18,7,0.0
random,18,8,0.0
random,18,9,0.0
random,18,10,0.0
random,18,11,0.0
random,18,12,0.0
random,18,13,0.0
random,18,14,0.0
random,18,15,0.0
random,18,16,0.0
random,18,17,0.0
random,18,18,0.0
random,18,19,0.0
random,19,0,0.0
